Feed,HDPE_wt%,LDPE_wt%,PP_wt%,Temperature_C,VRT_s,Liquid,Gas,Solid,Gasoline,Diesel,Aromatics,BTX,Wax
100% HDPE,100,0,0,500,0.5,84.09601593017578,13.223888397216797,0.8445886969566345,8.208203315734863,20.323326110839844,4.42079496383667,1.3984657526016235,69.64468383789062
100% HDPE,100,0,0,500,1.0,84.093017578125,13.224053382873535,0.8452517986297607,8.206212997436523,20.32125473022461,4.422802925109863,1.3983731269836426,69.64395904541016
100% HDPE,100,0,0,500,2.0,84.08700561523438,13.224381446838379,0.8465791940689087,8.202230453491211,20.317110061645508,4.426822662353516,1.3981876373291016,69.64248657226562
100% HDPE,100,0,0,500,5.0,84.06958770751953,13.224519729614258,0.8507223725318909,8.190898895263672,20.305633544921875,4.438343524932861,1.3976801633834839,69.63880920410156
100% HDPE,100,0,0,500,10.0,84.04164123535156,13.22322940826416,0.8579431772232056,8.173138618469238,20.28820037841797,4.4565935134887695,1.3969221115112305,69.63390350341797
100% HDPE,100,0,0,500,30.0,83.89507293701172,13.14238166809082,0.8922310471534729,8.109910011291504,20.24732780456543,4.519562244415283,1.3915282487869263,69.61470031738281
100% HDPE,100,0,0,500,60.0,83.58348083496094,13.0389404296875,0.9673623442649841,8.064436912536621,20.208065032958984,4.673710823059082,1.3992036581039429,69.54671478271484
100% LDPE,0,100,0,500,0.5,88.36290740966797,12.790383338928223,0.795759379863739,28.257238388061523,33.274166107177734,2.0929408073425293,1.5710240602493286,48.68549346923828
100% LDPE,0,100,0,500,1.0,88.35555267333984,12.79289722442627,0.7968249917030334,28.263965606689453,33.25203323364258,2.0917317867279053,1.5710217952728271,48.66461944580078
100% LDPE,0,100,0,500,2.0,88.34085083007812,12.797924995422363,0.7989592552185059,28.277427673339844,33.20779037475586,2.089315891265869,1.5710152387619019,48.62287902832031
100% LDPE,0,100,0,500,5.0,88.29649353027344,12.813740730285645,0.8053823113441467,28.319194793701172,33.07482147216797,2.0820531845092773,1.571082353591919,48.49702453613281
100% LDPE,0,100,0,500,10.0,88.22127532958984,12.844571113586426,0.8161044716835022,28.397220611572266,32.851375579833984,2.0698108673095703,1.5717195272445679,48.283416748046875
100% LDPE,0,100,0,500,30.0,87.91622924804688,12.968523979187012,0.8604269623756409,28.710599899291992,31.965383529663086,2.021540403366089,1.5742672681808472,47.4296760559082
100% LDPE,0,100,0,500,60.0,87.44031524658203,13.1668701171875,0.9312942624092102,29.192251205444336,30.666744232177734,1.9525418281555176,1.5796091556549072,46.15187454223633
100% PP,0,0,100,500,0.5,87.16864013671875,10.413945198059082,0.6602926850318909,17.898889541625977,26.603668212890625,0.9546968936920166,0.34101492166519165,59.1350212097168
100% PP,0,0,100,500,1.0,87.1657943725586,10.40474796295166,0.6609864234924316,17.892623901367188,26.588253021240234,0.9542456865310669,0.3406446576118469,59.13224792480469
100% PP,0,0,100,500,2.0,87.16011810302734,10.386373519897461,0.6623761653900146,17.880094528198242,26.557424545288086,0.953343391418457,0.3399055302143097,59.12669372558594
100% PP,0,0,100,500,5.0,87.14306640625,10.331428527832031,0.6665621995925903,17.842552185058594,26.465087890625,0.9506421089172363,0.33769750595092773,59.11004638671875
100% PP,0,0,100,500,10.0,87.1146240234375,10.24041748046875,0.6735977530479431,17.78011703491211,26.3116512298584,0.9461554884910583,0.3340492844581604,59.0822868347168
100% PP,0,0,100,500,30.0,87.000732421875,9.892239570617676,0.7029309868812561,17.543193817138672,25.71628189086914,0.9293981790542603,0.320524126291275,58.98668670654297
100% PP,0,0,100,500,60.0,86.81157684326172,9.348485946655273,0.7573168873786926,17.19507598876953,24.81073570251465,0.9060473442077637,0.3022778034210205,58.83636474609375
50/25/25 Mix,50,25,25,500,0.5,87.83302307128906,9.558231353759766,1.5447922945022583,17.359529495239258,17.343473434448242,2.590555429458618,0.7503148913383484,62.045799255371094
50/25/25 Mix,50,25,25,500,1.0,87.82974243164062,9.538825988769531,1.549006462097168,17.3558292388916,17.32996940612793,2.5872135162353516,0.74901282787323,62.04791259765625
50/25/25 Mix,50,25,25,500,2.0,87.82316589355469,9.500123977661133,1.5574696063995361,17.34844207763672,17.302982330322266,2.5805437564849854,0.7464168071746826,62.0521240234375
50/25/25 Mix,50,25,25,500,5.0,87.8034439086914,9.384858131408691,1.5831321477890015,17.326276779174805,17.222225189208984,2.56063175201416,0.7386808395385742,62.064754486083984
50/25/25 Mix,50,25,25,500,10.0,87.7697525024414,9.194452285766602,1.6271263360977173,17.288848876953125,17.0876407623291,2.527644157409668,0.7259141206741333,62.08647537231445
50/25/25 Mix,50,25,25,500,30.0,87.62682342529297,8.455132484436035,1.819303035736084,17.13288688659668,16.54888343811035,2.39821720123291,0.6765392422676086,62.186866760253906
50/25/25 Mix,50,25,25,500,60.0,87.39179992675781,7.69954252243042,2.100325345993042,17.086015701293945,15.961447715759277,2.264396905899048,0.6295343637466431,62.14735412597656
