HDPE_wt%,LDPE_wt%,PP_wt%,Temperature_C,VRT_s,Liquid,Gas,Solid,Gasoline,Diesel,Aromatics,BTX,Wax
0.0,65.38461538461539,34.61538461538462,500,1.0,80.15684509277344,5.910777568817139,5.223675727844238,26.372034072875977,16.867475509643555,1.3398938179016113,0.6852695941925049,41.61779022216797
2.0,64.0769230769231,33.92307692307692,500,1.0,81.15274047851562,6.016455173492432,4.788302421569824,26.027429580688477,16.816377639770508,1.3670697212219238,0.6696269512176514,43.08961868286133
4.0,62.76923076923079,33.230769230769226,500,1.0,82.12789154052734,6.127082347869873,4.381239414215088,25.85179901123047,16.95914649963379,1.3971158266067505,0.6611260771751404,44.63370132446289
6.0,61.46153846153847,32.53846153846154,500,1.0,82.88033294677734,6.283940315246582,4.018181800842285,25.633699417114258,17.096498489379883,1.4389665126800537,0.6586475968360901,45.93852996826172
8.0,60.15384615384616,31.846153846153843,500,1.0,83.54086303710938,6.441359996795654,3.711061954498291,25.449806213378906,17.23904037475586,1.4881926774978638,0.6628783941268921,47.115211486816406
10.0,58.84615384615386,31.153846153846157,500,1.0,84.16468048095703,6.5977044105529785,3.4382879734039307,25.26980972290039,17.39545440673828,1.5414402484893799,0.6682549715042114,48.282318115234375
12.0,57.53846153846155,30.46153846153846,500,1.0,84.72351837158203,6.713409900665283,3.1957249641418457,24.919069290161133,17.524221420288086,1.5914156436920166,0.667496383190155,49.393821716308594
14.0,56.23076923076924,29.76923076923077,500,1.0,85.1852035522461,6.816147327423096,2.993637800216675,24.486555099487305,17.63525390625,1.6425658464431763,0.6669443249702454,50.4516716003418
16.0,54.92307692307693,29.076923076923077,500,1.0,85.59577941894531,6.94210958480835,2.7824299335479736,23.974258422851562,17.726600646972656,1.6984529495239258,0.6683309674263,51.53755569458008
18.0,53.61538461538462,28.384615384615387,500,1.0,85.93822479248047,7.110970497131348,2.57912540435791,23.410995483398438,17.7850284576416,1.7634961605072021,0.6728143095970154,52.49146270751953
20.0,52.307692307692314,27.692307692307693,500,1.0,86.25737762451172,7.2739057540893555,2.39815354347229,22.811079025268555,17.81743812561035,1.8283714056015015,0.6761006712913513,53.35723114013672
22.0,51.00000000000001,27.0,500,1.0,86.48320770263672,7.448144435882568,2.2663121223449707,22.399717330932617,17.861682891845703,1.888670563697815,0.6848507523536682,54.03587341308594
24.0,49.6923076923077,26.307692307692307,500,1.0,86.68974304199219,7.621937274932861,2.1464085578918457,21.935718536376953,17.921035766601562,1.958953619003296,0.6961860060691833,54.75010299682617
26.0,48.384615384615394,25.615384615384617,500,1.0,86.91082000732422,7.836383819580078,2.022134780883789,21.468151092529297,18.026723861694336,2.039412260055542,0.7109005451202393,55.5156364440918
28.0,47.07692307692308,24.923076923076923,500,1.0,87.04312133789062,8.054783821105957,1.920432209968567,21.060482025146484,18.091751098632812,2.113955020904541,0.7276397943496704,55.994205474853516
30.0,45.769230769230774,24.230769230769234,500,1.0,87.22004699707031,8.28898811340332,1.8122166395187378,20.60784912109375,18.17438316345215,2.1943418979644775,0.7436938285827637,56.58124542236328
32.0,44.461538461538474,23.538461538461537,500,1.0,87.37893676757812,8.594138145446777,1.7051796913146973,20.20412254333496,18.266202926635742,2.2947709560394287,0.7669767141342163,57.14934539794922
34.0,43.15384615384616,22.846153846153847,500,1.0,87.55290222167969,8.898289680480957,1.6000158786773682,19.801549911499023,18.370691299438477,2.3979036808013916,0.7897698283195496,57.751888275146484
36.0,41.846153846153854,22.153846153846153,500,1.0,87.70780944824219,9.217175483703613,1.4988269805908203,19.31462287902832,18.500890731811523,2.503608226776123,0.8100883960723877,58.35961151123047
38.0,40.53846153846154,21.461538461538463,500,1.0,87.83048248291016,9.54835319519043,1.4044880867004395,18.73736000061035,18.55634117126465,2.604677200317383,0.8279945850372314,58.85270309448242
40.0,39.23076923076923,20.76923076923077,500,1.0,87.94042205810547,9.898697853088379,1.3097212314605713,18.118549346923828,18.565919876098633,2.705653429031372,0.848025381565094,59.28214645385742
42.0,37.923076923076934,20.076923076923077,500,1.0,87.96986389160156,10.242022514343262,1.2276246547698975,17.448530197143555,18.557693481445312,2.804596424102783,0.8676494359970093,59.60002517700195
44.0,36.61538461538462,19.384615384615383,500,1.0,88.00071716308594,10.594083786010742,1.146520733833313,16.814523696899414,18.530441284179688,2.895289897918701,0.8840233087539673,59.90873718261719
46.0,35.307692307692314,18.692307692307693,500,1.0,87.98434448242188,10.84068489074707,1.070375680923462,16.213655471801758,18.49981689453125,2.9564836025238037,0.8927427530288696,60.2008171081543
48.0,34.00000000000001,18.0,500,1.0,87.94271087646484,11.08793830871582,1.005942702293396,15.610477447509766,18.469865798950195,3.025749683380127,0.9009582996368408,60.45315933227539
50.0,32.69230769230769,17.30769230769231,500,1.0,87.88701629638672,11.314650535583496,0.950063943862915,14.99210262298584,18.406824111938477,3.0959720611572266,0.9062395691871643,60.68742370605469
52.0,31.384615384615394,16.615384615384613,500,1.0,87.8207778930664,11.552817344665527,0.8983628153800964,14.40127182006836,18.373241424560547,3.169196844100952,0.9134787321090698,60.94556427001953
54.0,30.07692307692308,15.923076923076922,500,1.0,87.74571228027344,11.77920913696289,0.8506028652191162,13.82600212097168,18.374845504760742,3.241769313812256,0.9203071594238281,61.202693939208984
56.0,28.769230769230774,15.23076923076923,500,1.0,87.655517578125,11.979445457458496,0.8065791130065918,13.259345054626465,18.335323333740234,3.3017020225524902,0.9210119247436523,61.390010833740234
58.0,27.461538461538463,14.538461538461538,500,1.0,87.54039764404297,12.146147727966309,0.7653805613517761,12.62849235534668,18.17778968811035,3.3437511920928955,0.9115058183670044,61.64100646972656
60.0,26.153846153846157,13.846153846153847,500,1.0,87.41293334960938,12.30100154876709,0.729363739490509,12.05943489074707,18.069910049438477,3.3876638412475586,0.904194176197052,61.88978576660156
62.0,24.84615384615385,13.153846153846153,500,1.0,87.27845764160156,12.470574378967285,0.6954054832458496,11.547985076904297,18.005722045898438,3.437704563140869,0.900361955165863,62.111629486083984
64.0,23.53846153846154,12.461538461538462,500,1.0,87.09715270996094,12.636855125427246,0.6728410720825195,11.110884666442871,17.978832244873047,3.514418363571167,0.9052491784095764,62.310325622558594
66.0,22.230769230769237,11.769230769230768,500,1.0,86.73085021972656,12.793025016784668,0.6668728590011597,10.667898178100586,17.99444580078125,3.612199306488037,0.9165394902229309,62.47157287597656
68.0,20.923076923076927,11.076923076923077,500,1.0,86.32698822021484,12.939362525939941,0.6665984392166138,10.248932838439941,18.059371948242188,3.7046563625335693,0.9285986423492432,62.656707763671875
70.0,19.615384615384617,10.384615384615385,500,1.0,85.89936828613281,13.131146430969238,0.6629889011383057,9.862504005432129,18.134613037109375,3.7979021072387695,0.9406887292861938,62.82197189331055
72.0,18.30769230769231,9.692307692307692,500,1.0,85.46178436279297,13.360033988952637,0.6610928773880005,9.530252456665039,18.267168045043945,3.9029653072357178,0.9585276246070862,62.97479248046875
74.0,17.000000000000004,9.0,500,1.0,85.00167846679688,13.589588165283203,0.6645742058753967,9.287519454956055,18.527515411376953,4.014666557312012,0.9844281673431396,63.105804443359375
76.0,15.692307692307697,8.307692307692307,500,1.0,84.66448974609375,13.834200859069824,0.6818950772285461,9.20185375213623,18.835660934448242,4.142126560211182,1.0269644260406494,63.30314254760742
78.0,14.384615384615387,7.615384615384615,500,1.0,84.33526611328125,14.09512710571289,0.7016714215278625,9.11979866027832,19.164453506469727,4.27494478225708,1.0748275518417358,63.55126953125
80.0,13.076923076923078,6.923076923076923,500,1.0,84.03901672363281,14.267584800720215,0.7215865850448608,9.02138614654541,19.460044860839844,4.3904876708984375,1.1257058382034302,63.971946716308594
82.0,11.76923076923077,6.230769230769231,500,1.0,83.8076171875,14.372486114501953,0.7441787123680115,8.980243682861328,19.838748931884766,4.479146957397461,1.1818633079528809,64.3807144165039
84.0,10.461538461538463,5.538461538461538,500,1.0,83.8050308227539,14.39040756225586,0.7564998865127563,8.936173439025879,20.136077880859375,4.493260383605957,1.2244199514389038,65.03185272216797
86.0,9.153846153846155,4.846153846153846,500,1.0,83.84441375732422,14.40735149383545,0.7681804299354553,8.878609657287598,20.344633102416992,4.533875465393066,1.2698018550872803,65.71427154541016
